tensor([[1.8341]], device='cuda:0'),tensor(0.5342, device='cuda:0')
tensor([[0.9752]], device='cuda:0'),tensor(0.5468, device='cuda:0')
tensor([[1.0180]], device='cuda:0'),tensor(0.3839, device='cuda:0')
tensor([[0.9058]], device='cuda:0'),tensor(0.3985, device='cuda:0')
tensor([[1.0809]], device='cuda:0'),tensor(0.5310, device='cuda:0')
tensor([[2.9397]], device='cuda:0'),tensor(0.5683, device='cuda:0')
tensor([[1.5315]], device='cuda:0'),tensor(0.7450, device='cuda:0')
tensor([[0.5476]], device='cuda:0'),tensor(0.5747, device='cuda:0')
tensor([[2.2380]], device='cuda:0'),tensor(0.6932, device='cuda:0')
tensor([[2.0055]], device='cuda:0'),tensor(0.6354, device='cuda:0')
tensor([[0.3407]], device='cuda:0'),tensor(0.1683, device='cuda:0')
tensor([[1.6090]], device='cuda:0'),tensor(0.7994, device='cuda:0')
tensor([[1.6704]], device='cuda:0'),tensor(0.8110, device='cuda:0')
tensor([[1.3301]], device='cuda:0'),tensor(0.4107, device='cuda:0')
tensor([[1.7653]], device='cuda:0'),tensor(0.5567, device='cuda:0')
tensor([[0.5449]], device='cuda:0'),tensor(0.5252, device='cuda:0')
tensor([[2.1888]], device='cuda:0'),tensor(0.8312, device='cuda:0')
tensor([[0.9665]], device='cuda:0'),tensor(0.4774, device='cuda:0')
tensor([[2.1594]], device='cuda:0'),tensor(0.6542, device='cuda:0')
tensor([[1.1186]], device='cuda:0'),tensor(0.3388, device='cuda:0')
tensor([[1.3139]], device='cuda:0'),tensor(0.8690, device='cuda:0')
tensor([[1.8502]], device='cuda:0'),tensor(0.5923, device='cuda:0')
tensor([[1.4221]], device='cuda:0'),tensor(0.6476, device='cuda:0')
tensor([[1.1652]], device='cuda:0'),tensor(0.4837, device='cuda:0')
tensor([[2.9736]], device='cuda:0'),tensor(0.7228, device='cuda:0')
tensor([[1.6021]], device='cuda:0'),tensor(0.6729, device='cuda:0')
tensor([[1.1750]], device='cuda:0'),tensor(0.4457, device='cuda:0')
tensor([[1.9148]], device='cuda:0'),tensor(0.5883, device='cuda:0')
tensor([[0.0666]], device='cuda:0'),tensor(0.2522, device='cuda:0')
tensor([[1.1770]], device='cuda:0'),tensor(0.2875, device='cuda:0')
tensor([[1.5590]], device='cuda:0'),tensor(0.7326, device='cuda:0')
tensor([[1.0561]], device='cuda:0'),tensor(0.2955, device='cuda:0')
tensor([[0.8893]], device='cuda:0'),tensor(0.5520, device='cuda:0')
tensor([[0.6092]], device='cuda:0'),tensor(0.1639, device='cuda:0')
tensor([[1.7956]], device='cuda:0'),tensor(0.4518, device='cuda:0')
tensor([[0.6198]], device='cuda:0'),tensor(0.2802, device='cuda:0')
tensor([[1.8872]], device='cuda:0'),tensor(0.4251, device='cuda:0')
tensor([[1.8083]], device='cuda:0'),tensor(0.7910, device='cuda:0')
tensor([[1.1014]], device='cuda:0'),tensor(0.4129, device='cuda:0')
tensor([[1.5519]], device='cuda:0'),tensor(0.6335, device='cuda:0')
tensor([[1.0176]], device='cuda:0'),tensor(0.8042, device='cuda:0')
tensor([[1.0752]], device='cuda:0'),tensor(0.4178, device='cuda:0')
tensor([[2.1093]], device='cuda:0'),tensor(0.6173, device='cuda:0')
tensor([[1.0175]], device='cuda:0'),tensor(0.5981, device='cuda:0')
tensor([[0.8629]], device='cuda:0'),tensor(0.6092, device='cuda:0')
tensor([[1.5315]], device='cuda:0'),tensor(0.7450, device='cuda:0')
tensor([[2.5777]], device='cuda:0'),tensor(0.8809, device='cuda:0')
tensor([[0.6609]], device='cuda:0'),tensor(0.1809, device='cuda:0')
tensor([[0.6002]], device='cuda:0'),tensor(0.5450, device='cuda:0')
tensor([[2.2380]], device='cuda:0'),tensor(0.6932, device='cuda:0')
tensor([[1.5628]], device='cuda:0'),tensor(0.8830, device='cuda:0')
tensor([[1.0749]], device='cuda:0'),tensor(0.6051, device='cuda:0')
tensor([[1.7956]], device='cuda:0'),tensor(0.4518, device='cuda:0')
tensor([[1.1154]], device='cuda:0'),tensor(0.4562, device='cuda:0')
tensor([[0.4077]], device='cuda:0'),tensor(0.1724, device='cuda:0')
tensor([[2.0029]], device='cuda:0'),tensor(0.6227, device='cuda:0')
tensor([[0.6002]], device='cuda:0'),tensor(0.5450, device='cuda:0')
tensor([[0.5993]], device='cuda:0'),tensor(0.4188, device='cuda:0')
tensor([[2.1093]], device='cuda:0'),tensor(0.6173, device='cuda:0')
tensor([[2.1754]], device='cuda:0'),tensor(0.7137, device='cuda:0')
tensor([[0.5470]], device='cuda:0'),tensor(0.4065, device='cuda:0')
tensor([[1.3795]], device='cuda:0'),tensor(0.8073, device='cuda:0')
tensor([[1.2779]], device='cuda:0'),tensor(0.6466, device='cuda:0')
tensor([[1.5739]], device='cuda:0'),tensor(0.2149, device='cuda:0')
tensor([[1.3496]], device='cuda:0'),tensor(0.5774, device='cuda:0')
tensor([[1.5562]], device='cuda:0'),tensor(0.8290, device='cuda:0')
tensor([[1.7254]], device='cuda:0'),tensor(0.6328, device='cuda:0')
tensor([[2.1381]], device='cuda:0'),tensor(0.7477, device='cuda:0')
tensor([[1.2442]], device='cuda:0'),tensor(0.7422, device='cuda:0')
tensor([[1.7479]], device='cuda:0'),tensor(0.5750, device='cuda:0')
tensor([[1.5691]], device='cuda:0'),tensor(0.5175, device='cuda:0')
tensor([[1.8791]], device='cuda:0'),tensor(0.7874, device='cuda:0')
tensor([[1.8900]], device='cuda:0'),tensor(0.4628, device='cuda:0')
tensor([[1.5095]], device='cuda:0'),tensor(0.3334, device='cuda:0')
tensor([[0.5816]], device='cuda:0'),tensor(0.2474, device='cuda:0')
tensor([[1.5315]], device='cuda:0'),tensor(0.7450, device='cuda:0')
tensor([[1.3301]], device='cuda:0'),tensor(0.4107, device='cuda:0')
tensor([[1.6569]], device='cuda:0'),tensor(0.5018, device='cuda:0')
tensor([[1.3576]], device='cuda:0'),tensor(0.6576, device='cuda:0')
tensor([[2.2146]], device='cuda:0'),tensor(0.7680, device='cuda:0')
tensor([[1.9299]], device='cuda:0'),tensor(0.6380, device='cuda:0')
tensor([[1.6032]], device='cuda:0'),tensor(0.5583, device='cuda:0')
tensor([[2.0720]], device='cuda:0'),tensor(0.8396, device='cuda:0')
tensor([[1.9963]], device='cuda:0'),tensor(0.8410, device='cuda:0')
tensor([[2.2380]], device='cuda:0'),tensor(0.6932, device='cuda:0')
tensor([[1.1957]], device='cuda:0'),tensor(0.5026, device='cuda:0')
tensor([[1.3155]], device='cuda:0'),tensor(0.6275, device='cuda:0')
tensor([[2.1093]], device='cuda:0'),tensor(0.6173, device='cuda:0')
tensor([[1.5562]], device='cuda:0'),tensor(0.8290, device='cuda:0')
tensor([[1.5441]], device='cuda:0'),tensor(0.3335, device='cuda:0')
tensor([[1.3682]], device='cuda:0'),tensor(0.5076, device='cuda:0')
tensor([[2.2014]], device='cuda:0'),tensor(0.5491, device='cuda:0')
tensor([[1.8707]], device='cuda:0'),tensor(0.4554, device='cuda:0')
tensor([[1.3138]], device='cuda:0'),tensor(0.4894, device='cuda:0')
tensor([[1.2355]], device='cuda:0'),tensor(0.5109, device='cuda:0')
tensor([[1.8069]], device='cuda:0'),tensor(0.6315, device='cuda:0')
tensor([[1.2235]], device='cuda:0'),tensor(0.5461, device='cuda:0')
tensor([[2.2380]], device='cuda:0'),tensor(0.6932, device='cuda:0')
tensor([[0.7969]], device='cuda:0'),tensor(0.1931, device='cuda:0')
tensor([[1.4221]], device='cuda:0'),tensor(0.6476, device='cuda:0')
tensor([[1.5441]], device='cuda:0'),tensor(0.3335, device='cuda:0')
tensor([[0.2813]], device='cuda:0'),tensor(0.3939, device='cuda:0')
tensor([[1.6634]], device='cuda:0'),tensor(0.7534, device='cuda:0')
