tensor([[1.2857]], device='cuda:0'),tensor(0.7064, device='cuda:0'),tensor(0.3334, device='cuda:0')
tensor([[1.3017]], device='cuda:0'),tensor(0.7687, device='cuda:0'),tensor(0.4077, device='cuda:0')
tensor([[1.3919]], device='cuda:0'),tensor(0.8690, device='cuda:0'),tensor(0.3614, device='cuda:0')
tensor([[1.5415]], device='cuda:0'),tensor(0.0661, device='cuda:0'),tensor(0.7653, device='cuda:0')
tensor([[2.1335]], device='cuda:0'),tensor(0.8303, device='cuda:0'),tensor(0.6461, device='cuda:0')
tensor([[1.0099]], device='cuda:0'),tensor(0.7494, device='cuda:0'),tensor(0.2227, device='cuda:0')
tensor([[1.1694]], device='cuda:0'),tensor(0.3721, device='cuda:0'),tensor(0.5307, device='cuda:0')
tensor([[1.4104]], device='cuda:0'),tensor(0.3860, device='cuda:0'),tensor(0.5965, device='cuda:0')
tensor([[1.5415]], device='cuda:0'),tensor(0.0661, device='cuda:0'),tensor(0.7653, device='cuda:0')
tensor([[1.9324]], device='cuda:0'),tensor(0.6761, device='cuda:0'),tensor(0.5050, device='cuda:0')
tensor([[1.8303]], device='cuda:0'),tensor(0.6144, device='cuda:0'),tensor(0.5456, device='cuda:0')
tensor([[2.1335]], device='cuda:0'),tensor(0.8303, device='cuda:0'),tensor(0.6461, device='cuda:0')
tensor([[2.0720]], device='cuda:0'),tensor(0.0940, device='cuda:0'),tensor(0.8396, device='cuda:0')
tensor([[1.0816]], device='cuda:0'),tensor(0.1103, device='cuda:0'),tensor(0.3999, device='cuda:0')
tensor([[0.2162]], device='cuda:0'),tensor(0.9269, device='cuda:0'),tensor(0.0946, device='cuda:0')
tensor([[2.1602]], device='cuda:0'),tensor(0.1651, device='cuda:0'),tensor(0.6085, device='cuda:0')
tensor([[1.0816]], device='cuda:0'),tensor(0.1103, device='cuda:0'),tensor(0.3999, device='cuda:0')
tensor([[-0.2332]], device='cuda:0'),tensor(0.9582, device='cuda:0'),tensor(0.2525, device='cuda:0')
tensor([[2.3324]], device='cuda:0'),tensor(0.1867, device='cuda:0'),tensor(0.7044, device='cuda:0')
tensor([[2.0929]], device='cuda:0'),tensor(0.1638, device='cuda:0'),tensor(0.7418, device='cuda:0')
tensor([[2.0326]], device='cuda:0'),tensor(0.4245, device='cuda:0'),tensor(0.4897, device='cuda:0')
tensor([[1.2360]], device='cuda:0'),tensor(0.5026, device='cuda:0'),tensor(0.5534, device='cuda:0')
tensor([[2.9397]], device='cuda:0'),tensor(0.1556, device='cuda:0'),tensor(0.5683, device='cuda:0')
tensor([[0.5521]], device='cuda:0'),tensor(0.8493, device='cuda:0'),tensor(0.1998, device='cuda:0')
tensor([[0.7724]], device='cuda:0'),tensor(0.5079, device='cuda:0'),tensor(0.3289, device='cuda:0')
tensor([[1.5628]], device='cuda:0'),tensor(0.0679, device='cuda:0'),tensor(0.8830, device='cuda:0')
tensor([[2.1451]], device='cuda:0'),tensor(0.2382, device='cuda:0'),tensor(0.5208, device='cuda:0')
tensor([[-0.3400]], device='cuda:0'),tensor(0.9734, device='cuda:0'),tensor(0.2300, device='cuda:0')
tensor([[0.6813]], device='cuda:0'),tensor(0.8912, device='cuda:0'),tensor(0.2304, device='cuda:0')
tensor([[1.6704]], device='cuda:0'),tensor(0.1116, device='cuda:0'),tensor(0.8110, device='cuda:0')
tensor([[1.2667]], device='cuda:0'),tensor(0.4274, device='cuda:0'),tensor(0.5426, device='cuda:0')
tensor([[1.3754]], device='cuda:0'),tensor(0.8989, device='cuda:0'),tensor(0.2750, device='cuda:0')
tensor([[2.0326]], device='cuda:0'),tensor(0.4245, device='cuda:0'),tensor(0.4897, device='cuda:0')
tensor([[2.3201]], device='cuda:0'),tensor(0.3616, device='cuda:0'),tensor(0.6786, device='cuda:0')
tensor([[-0.2394]], device='cuda:0'),tensor(0.9546, device='cuda:0'),tensor(0.1161, device='cuda:0')
tensor([[1.5095]], device='cuda:0'),tensor(0.6230, device='cuda:0'),tensor(0.3334, device='cuda:0')
tensor([[1.2083]], device='cuda:0'),tensor(0.7261, device='cuda:0'),tensor(0.2790, device='cuda:0')
tensor([[1.4221]], device='cuda:0'),tensor(0.2751, device='cuda:0'),tensor(0.6476, device='cuda:0')
tensor([[1.3975]], device='cuda:0'),tensor(0.2693, device='cuda:0'),tensor(0.5582, device='cuda:0')
tensor([[-0.3400]], device='cuda:0'),tensor(0.9734, device='cuda:0'),tensor(0.2300, device='cuda:0')
tensor([[1.4221]], device='cuda:0'),tensor(0.2751, device='cuda:0'),tensor(0.6476, device='cuda:0')
tensor([[1.5649]], device='cuda:0'),tensor(0.1674, device='cuda:0'),tensor(0.5683, device='cuda:0')
tensor([[1.5315]], device='cuda:0'),tensor(0.1075, device='cuda:0'),tensor(0.7450, device='cuda:0')
tensor([[0.5219]], device='cuda:0'),tensor(0.9584, device='cuda:0'),tensor(0.1709, device='cuda:0')
tensor([[2.0929]], device='cuda:0'),tensor(0.1638, device='cuda:0'),tensor(0.7418, device='cuda:0')
