tensor([[1.1441]], device='cuda:0'),tensor(0.2135, device='cuda:0')
tensor([[1.8074]], device='cuda:0'),tensor(0.3608, device='cuda:0')
tensor([[1.2782]], device='cuda:0'),tensor(0.7918, device='cuda:0')
tensor([[1.4905]], device='cuda:0'),tensor(0.8517, device='cuda:0')
tensor([[1.3443]], device='cuda:0'),tensor(0.5965, device='cuda:0')
tensor([[1.5783]], device='cuda:0'),tensor(0.5000, device='cuda:0')
tensor([[1.3155]], device='cuda:0'),tensor(0.3818, device='cuda:0')
tensor([[1.4746]], device='cuda:0'),tensor(0.7040, device='cuda:0')
tensor([[1.7423]], device='cuda:0'),tensor(0.1650, device='cuda:0')
tensor([[0.8673]], device='cuda:0'),tensor(0.7596, device='cuda:0')
tensor([[2.5578]], device='cuda:0'),tensor(0.4412, device='cuda:0')
tensor([[0.9105]], device='cuda:0'),tensor(0.7791, device='cuda:0')
tensor([[0.8361]], device='cuda:0'),tensor(0.9576, device='cuda:0')
tensor([[1.7512]], device='cuda:0'),tensor(0.4224, device='cuda:0')
tensor([[1.2168]], device='cuda:0'),tensor(0.6452, device='cuda:0')
tensor([[0.0149]], device='cuda:0'),tensor(0.9444, device='cuda:0')
tensor([[0.6931]], device='cuda:0'),tensor(0.9088, device='cuda:0')
tensor([[0.4739]], device='cuda:0'),tensor(0.6280, device='cuda:0')
tensor([[1.7582]], device='cuda:0'),tensor(0.7586, device='cuda:0')
tensor([[0.2280]], device='cuda:0'),tensor(0.9483, device='cuda:0')
tensor([[0.8605]], device='cuda:0'),tensor(0.9214, device='cuda:0')
tensor([[0.3824]], device='cuda:0'),tensor(0.9219, device='cuda:0')
tensor([[0.5694]], device='cuda:0'),tensor(0.8318, device='cuda:0')
tensor([[1.1279]], device='cuda:0'),tensor(0.7489, device='cuda:0')
tensor([[0.9759]], device='cuda:0'),tensor(0.6796, device='cuda:0')
tensor([[1.9760]], device='cuda:0'),tensor(0.7292, device='cuda:0')
tensor([[0.9391]], device='cuda:0'),tensor(0.8177, device='cuda:0')
tensor([[2.3784]], device='cuda:0'),tensor(0.3333, device='cuda:0')
