tensor([[1.5435]], device='cuda:0'),tensor(0.6009, device='cuda:0')
tensor([[2.1322]], device='cuda:0'),tensor(0.6697, device='cuda:0')
tensor([[2.5441]], device='cuda:0'),tensor(0.6236, device='cuda:0')
tensor([[1.9332]], device='cuda:0'),tensor(0.5870, device='cuda:0')
tensor([[1.3578]], device='cuda:0'),tensor(0.6148, device='cuda:0')
tensor([[1.4051]], device='cuda:0'),tensor(0.5244, device='cuda:0')
tensor([[2.6151]], device='cuda:0'),tensor(0.6876, device='cuda:0')
tensor([[1.4099]], device='cuda:0'),tensor(0.4501, device='cuda:0')
tensor([[1.5258]], device='cuda:0'),tensor(0.4076, device='cuda:0')
tensor([[1.8177]], device='cuda:0'),tensor(0.6616, device='cuda:0')
tensor([[1.8424]], device='cuda:0'),tensor(0.6115, device='cuda:0')
tensor([[3.6896]], device='cuda:0'),tensor(0.4308, device='cuda:0')
tensor([[1.9674]], device='cuda:0'),tensor(0.5293, device='cuda:0')
tensor([[2.7681]], device='cuda:0'),tensor(0.6259, device='cuda:0')
tensor([[2.2179]], device='cuda:0'),tensor(0.8176, device='cuda:0')
tensor([[2.3678]], device='cuda:0'),tensor(0.6775, device='cuda:0')
tensor([[3.6490]], device='cuda:0'),tensor(0.8367, device='cuda:0')
tensor([[2.2786]], device='cuda:0'),tensor(0.6025, device='cuda:0')
tensor([[1.7854]], device='cuda:0'),tensor(0.6413, device='cuda:0')
tensor([[2.3985]], device='cuda:0'),tensor(0.4464, device='cuda:0')
tensor([[2.5909]], device='cuda:0'),tensor(0.7681, device='cuda:0')
tensor([[3.1746]], device='cuda:0'),tensor(0.8540, device='cuda:0')
tensor([[2.4352]], device='cuda:0'),tensor(0.2943, device='cuda:0')
tensor([[2.6030]], device='cuda:0'),tensor(0.6206, device='cuda:0')
tensor([[1.7924]], device='cuda:0'),tensor(0.6404, device='cuda:0')
tensor([[2.2981]], device='cuda:0'),tensor(0.5854, device='cuda:0')
tensor([[2.1956]], device='cuda:0'),tensor(0.7052, device='cuda:0')
tensor([[2.6987]], device='cuda:0'),tensor(0.2668, device='cuda:0')
tensor([[2.4544]], device='cuda:0'),tensor(0.5749, device='cuda:0')
tensor([[1.5813]], device='cuda:0'),tensor(0.6759, device='cuda:0')
tensor([[2.3768]], device='cuda:0'),tensor(0.8526, device='cuda:0')
tensor([[2.3611]], device='cuda:0'),tensor(0.4147, device='cuda:0')
tensor([[4.1078]], device='cuda:0'),tensor(0.4313, device='cuda:0')
tensor([[3.2177]], device='cuda:0'),tensor(0.7773, device='cuda:0')
tensor([[1.7751]], device='cuda:0'),tensor(0.4016, device='cuda:0')
tensor([[1.6218]], device='cuda:0'),tensor(0.5276, device='cuda:0')
tensor([[1.7560]], device='cuda:0'),tensor(0.5319, device='cuda:0')
tensor([[3.3686]], device='cuda:0'),tensor(0.8475, device='cuda:0')
tensor([[2.0754]], device='cuda:0'),tensor(0.8705, device='cuda:0')
tensor([[1.7211]], device='cuda:0'),tensor(0.6320, device='cuda:0')
tensor([[2.6987]], device='cuda:0'),tensor(0.2668, device='cuda:0')
tensor([[2.1353]], device='cuda:0'),tensor(0.7222, device='cuda:0')
tensor([[2.0621]], device='cuda:0'),tensor(0.5016, device='cuda:0')
tensor([[2.2647]], device='cuda:0'),tensor(0.4395, device='cuda:0')
tensor([[2.2034]], device='cuda:0'),tensor(0.3607, device='cuda:0')
tensor([[3.0725]], device='cuda:0'),tensor(0.6576, device='cuda:0')
tensor([[1.6642]], device='cuda:0'),tensor(0.6429, device='cuda:0')
tensor([[2.4147]], device='cuda:0'),tensor(0.7786, device='cuda:0')
tensor([[0.8779]], device='cuda:0'),tensor(0.7472, device='cuda:0')
tensor([[2.0158]], device='cuda:0'),tensor(0.7203, device='cuda:0')
tensor([[2.4544]], device='cuda:0'),tensor(0.5749, device='cuda:0')
tensor([[3.0684]], device='cuda:0'),tensor(0.3504, device='cuda:0')
tensor([[2.7499]], device='cuda:0'),tensor(0.7809, device='cuda:0')
tensor([[2.2310]], device='cuda:0'),tensor(0.7440, device='cuda:0')
tensor([[2.2403]], device='cuda:0'),tensor(0.4961, device='cuda:0')
tensor([[2.4676]], device='cuda:0'),tensor(0.6779, device='cuda:0')
tensor([[2.1492]], device='cuda:0'),tensor(0.5357, device='cuda:0')
tensor([[2.2892]], device='cuda:0'),tensor(0.4221, device='cuda:0')
tensor([[2.5951]], device='cuda:0'),tensor(0.7624, device='cuda:0')
tensor([[1.9745]], device='cuda:0'),tensor(0.7815, device='cuda:0')
tensor([[2.3682]], device='cuda:0'),tensor(0.5148, device='cuda:0')
tensor([[2.6227]], device='cuda:0'),tensor(0.7194, device='cuda:0')
tensor([[1.5423]], device='cuda:0'),tensor(0.7168, device='cuda:0')
tensor([[2.1156]], device='cuda:0'),tensor(0.6933, device='cuda:0')
tensor([[2.9496]], device='cuda:0'),tensor(0.4475, device='cuda:0')
tensor([[2.6799]], device='cuda:0'),tensor(0.5606, device='cuda:0')
tensor([[1.5493]], device='cuda:0'),tensor(0.6104, device='cuda:0')
tensor([[2.5909]], device='cuda:0'),tensor(0.7681, device='cuda:0')
tensor([[2.9639]], device='cuda:0'),tensor(0.8736, device='cuda:0')
tensor([[3.6327]], device='cuda:0'),tensor(0.6630, device='cuda:0')
tensor([[0.3598]], device='cuda:0'),tensor(0.5030, device='cuda:0')
tensor([[1.7690]], device='cuda:0'),tensor(0.7142, device='cuda:0')
tensor([[2.1447]], device='cuda:0'),tensor(0.7275, device='cuda:0')
tensor([[1.9002]], device='cuda:0'),tensor(0.3855, device='cuda:0')
tensor([[1.4545]], device='cuda:0'),tensor(0.7726, device='cuda:0')
tensor([[1.2450]], device='cuda:0'),tensor(0.5251, device='cuda:0')
tensor([[2.2091]], device='cuda:0'),tensor(0.7633, device='cuda:0')
tensor([[2.4544]], device='cuda:0'),tensor(0.5749, device='cuda:0')
tensor([[2.1087]], device='cuda:0'),tensor(0.5417, device='cuda:0')
tensor([[2.4984]], device='cuda:0'),tensor(0.6181, device='cuda:0')
tensor([[1.3376]], device='cuda:0'),tensor(0.7304, device='cuda:0')
tensor([[1.2046]], device='cuda:0'),tensor(0.5923, device='cuda:0')
tensor([[1.7575]], device='cuda:0'),tensor(0.8649, device='cuda:0')
tensor([[1.8623]], device='cuda:0'),tensor(0.8134, device='cuda:0')
tensor([[1.6659]], device='cuda:0'),tensor(0.5492, device='cuda:0')
tensor([[3.2048]], device='cuda:0'),tensor(0.3905, device='cuda:0')
tensor([[1.9238]], device='cuda:0'),tensor(0.8498, device='cuda:0')
tensor([[1.0421]], device='cuda:0'),tensor(0.7607, device='cuda:0')
tensor([[1.6744]], device='cuda:0'),tensor(0.6301, device='cuda:0')
tensor([[2.8871]], device='cuda:0'),tensor(0.3585, device='cuda:0')
tensor([[2.8735]], device='cuda:0'),tensor(0.4312, device='cuda:0')
tensor([[2.8427]], device='cuda:0'),tensor(0.7089, device='cuda:0')
tensor([[2.2428]], device='cuda:0'),tensor(0.7091, device='cuda:0')
tensor([[1.6255]], device='cuda:0'),tensor(0.6933, device='cuda:0')
tensor([[1.3435]], device='cuda:0'),tensor(0.8111, device='cuda:0')
tensor([[1.5889]], device='cuda:0'),tensor(0.5995, device='cuda:0')
tensor([[2.6987]], device='cuda:0'),tensor(0.2668, device='cuda:0')
tensor([[2.4447]], device='cuda:0'),tensor(0.4695, device='cuda:0')
tensor([[1.6314]], device='cuda:0'),tensor(0.7270, device='cuda:0')
tensor([[1.3380]], device='cuda:0'),tensor(0.6434, device='cuda:0')
tensor([[1.0955]], device='cuda:0'),tensor(0.7416, device='cuda:0')
tensor([[1.7036]], device='cuda:0'),tensor(0.5432, device='cuda:0')
tensor([[2.3136]], device='cuda:0'),tensor(0.7865, device='cuda:0')
tensor([[2.4544]], device='cuda:0'),tensor(0.5749, device='cuda:0')
tensor([[2.3241]], device='cuda:0'),tensor(0.7635, device='cuda:0')
tensor([[2.2449]], device='cuda:0'),tensor(0.7067, device='cuda:0')
tensor([[2.3678]], device='cuda:0'),tensor(0.6775, device='cuda:0')
tensor([[2.7653]], device='cuda:0'),tensor(0.7480, device='cuda:0')
tensor([[1.6096]], device='cuda:0'),tensor(0.6991, device='cuda:0')
tensor([[1.3479]], device='cuda:0'),tensor(0.6162, device='cuda:0')
tensor([[1.8451]], device='cuda:0'),tensor(0.6987, device='cuda:0')
tensor([[1.9738]], device='cuda:0'),tensor(0.3619, device='cuda:0')
tensor([[2.1063]], device='cuda:0'),tensor(0.5778, device='cuda:0')
tensor([[1.8767]], device='cuda:0'),tensor(0.6216, device='cuda:0')
tensor([[1.1123]], device='cuda:0'),tensor(0.4996, device='cuda:0')
tensor([[0.7433]], device='cuda:0'),tensor(0.2948, device='cuda:0')
tensor([[2.5441]], device='cuda:0'),tensor(0.6236, device='cuda:0')
tensor([[1.5327]], device='cuda:0'),tensor(0.6120, device='cuda:0')
tensor([[1.7804]], device='cuda:0'),tensor(0.8541, device='cuda:0')
tensor([[1.1513]], device='cuda:0'),tensor(0.3456, device='cuda:0')
tensor([[1.2864]], device='cuda:0'),tensor(0.4043, device='cuda:0')
tensor([[2.8534]], device='cuda:0'),tensor(0.7182, device='cuda:0')
tensor([[2.6449]], device='cuda:0'),tensor(0.7515, device='cuda:0')
tensor([[2.2878]], device='cuda:0'),tensor(0.8493, device='cuda:0')
tensor([[2.0881]], device='cuda:0'),tensor(0.5090, device='cuda:0')
tensor([[1.1938]], device='cuda:0'),tensor(0.4038, device='cuda:0')
tensor([[0.9056]], device='cuda:0'),tensor(0.6858, device='cuda:0')
tensor([[2.1254]], device='cuda:0'),tensor(0.4133, device='cuda:0')
tensor([[1.7409]], device='cuda:0'),tensor(0.3281, device='cuda:0')
tensor([[1.6398]], device='cuda:0'),tensor(0.7600, device='cuda:0')
tensor([[1.8437]], device='cuda:0'),tensor(0.7529, device='cuda:0')
tensor([[1.5508]], device='cuda:0'),tensor(0.4437, device='cuda:0')
tensor([[0.7095]], device='cuda:0'),tensor(0.7534, device='cuda:0')
tensor([[2.4147]], device='cuda:0'),tensor(0.7786, device='cuda:0')
tensor([[2.1471]], device='cuda:0'),tensor(0.7747, device='cuda:0')
tensor([[2.1656]], device='cuda:0'),tensor(0.4211, device='cuda:0')
tensor([[2.3134]], device='cuda:0'),tensor(0.4081, device='cuda:0')
tensor([[2.1622]], device='cuda:0'),tensor(0.9124, device='cuda:0')
tensor([[2.4676]], device='cuda:0'),tensor(0.6779, device='cuda:0')
tensor([[1.8451]], device='cuda:0'),tensor(0.6987, device='cuda:0')
tensor([[2.2940]], device='cuda:0'),tensor(0.6604, device='cuda:0')
tensor([[2.0826]], device='cuda:0'),tensor(0.7582, device='cuda:0')
tensor([[1.5493]], device='cuda:0'),tensor(0.8772, device='cuda:0')
tensor([[3.8606]], device='cuda:0'),tensor(0.7087, device='cuda:0')
tensor([[0.2382]], device='cuda:0'),tensor(0.5208, device='cuda:0')
tensor([[1.4512]], device='cuda:0'),tensor(0.4637, device='cuda:0')
tensor([[3.0968]], device='cuda:0'),tensor(0.7171, device='cuda:0')
tensor([[1.5023]], device='cuda:0'),tensor(0.5949, device='cuda:0')
tensor([[1.8399]], device='cuda:0'),tensor(0.6197, device='cuda:0')
tensor([[1.2523]], device='cuda:0'),tensor(0.3134, device='cuda:0')
tensor([[2.7681]], device='cuda:0'),tensor(0.6259, device='cuda:0')
tensor([[0.8235]], device='cuda:0'),tensor(0.4983, device='cuda:0')
tensor([[1.9723]], device='cuda:0'),tensor(0.5133, device='cuda:0')
tensor([[1.2829]], device='cuda:0'),tensor(0.7217, device='cuda:0')
tensor([[2.6987]], device='cuda:0'),tensor(0.2668, device='cuda:0')
tensor([[1.6787]], device='cuda:0'),tensor(0.7626, device='cuda:0')
tensor([[2.2892]], device='cuda:0'),tensor(0.4221, device='cuda:0')
tensor([[1.3479]], device='cuda:0'),tensor(0.6162, device='cuda:0')
tensor([[2.0843]], device='cuda:0'),tensor(0.3419, device='cuda:0')
tensor([[1.7328]], device='cuda:0'),tensor(0.7402, device='cuda:0')
tensor([[1.6481]], device='cuda:0'),tensor(0.7924, device='cuda:0')
tensor([[1.9210]], device='cuda:0'),tensor(0.7770, device='cuda:0')
tensor([[1.2803]], device='cuda:0'),tensor(0.7404, device='cuda:0')
tensor([[2.2565]], device='cuda:0'),tensor(0.7277, device='cuda:0')
tensor([[2.4544]], device='cuda:0'),tensor(0.5749, device='cuda:0')
tensor([[1.6201]], device='cuda:0'),tensor(0.5287, device='cuda:0')
tensor([[2.0103]], device='cuda:0'),tensor(0.6486, device='cuda:0')
tensor([[1.5796]], device='cuda:0'),tensor(0.7145, device='cuda:0')
tensor([[2.6923]], device='cuda:0'),tensor(0.7955, device='cuda:0')
tensor([[2.5951]], device='cuda:0'),tensor(0.7624, device='cuda:0')
tensor([[2.6227]], device='cuda:0'),tensor(0.7194, device='cuda:0')
tensor([[2.1087]], device='cuda:0'),tensor(0.5417, device='cuda:0')
tensor([[1.2074]], device='cuda:0'),tensor(0.6618, device='cuda:0')
tensor([[2.2296]], device='cuda:0'),tensor(0.6492, device='cuda:0')
tensor([[2.6987]], device='cuda:0'),tensor(0.2668, device='cuda:0')
tensor([[0.7473]], device='cuda:0'),tensor(0.5701, device='cuda:0')
tensor([[1.5586]], device='cuda:0'),tensor(0.4190, device='cuda:0')
tensor([[2.2635]], device='cuda:0'),tensor(0.4119, device='cuda:0')
tensor([[1.7496]], device='cuda:0'),tensor(0.5240, device='cuda:0')
tensor([[3.4851]], device='cuda:0'),tensor(0.4725, device='cuda:0')
tensor([[1.4411]], device='cuda:0'),tensor(0.7372, device='cuda:0')
tensor([[2.3241]], device='cuda:0'),tensor(0.7635, device='cuda:0')
tensor([[2.5936]], device='cuda:0'),tensor(0.8701, device='cuda:0')
tensor([[1.7832]], device='cuda:0'),tensor(0.4690, device='cuda:0')
tensor([[1.4473]], device='cuda:0'),tensor(0.3810, device='cuda:0')
tensor([[0.9451]], device='cuda:0'),tensor(0.6725, device='cuda:0')
tensor([[1.4203]], device='cuda:0'),tensor(0.6823, device='cuda:0')
